display  D   display_settings.c:214  debug_display_settings           [   0.11855] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.11866] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11876] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11889] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11897] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11911] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11919] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11928] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11937] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.11946] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11958] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.11977] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11986] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11999] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.12009] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.12019] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.12031] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.12042] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.12053] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.12063] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.12073] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.12083] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.12093] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.12103] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.12114] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.12125] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.12134] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.12145] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.12155] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.12166] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.12179] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.12187] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.12197] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12207] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.12217] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12235] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.12242] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12254] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.12265] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.12274] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.12282] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.12291] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.12301] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12316] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.12325] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12335] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.12347] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12360] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.12372] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.12380] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.12390] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.12400] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.12412] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
